title,company_name,location,via,description,company_info
Frontend Developer,Ermin Systems, Anywhere ,via LinkedIn,"About the Role:

We are seeking a skilled Front-End Developer with 4 to 5 years of experience in modern web technologies. The ideal candidate should have a strong foundation in JavaScript, Pixi.js, Greensock, HTML, and CSS. This role requires a developer who can create high-quality, efficient, and reusable code for various web applications.

Key Responsibilities:
• Develop and maintain front-end applications using JavaScript, Pixi.js, Greensock, HTML, and CSS.
• Ensure the technical feasibility of UI/UX designs.
• Optimize applications for maximum speed and scalability.
• Collaborate with team members and stakeholders to understand requirements and deliver solutions.
• Maintain and improve website visuals and functionality.
• Ensure compliance with web standards and accessibility guidelines.
• Requirements:
• 4 to 5 years of experience in front-end development.
• Strong proficiency in JavaScript.
• Experienced with Pixi.js and Greensock animation platforms.
• Expertise in HTML5 and... CSS3.
• Familiarity with responsive and adaptive design principles.
• Ability to solve complex problems and implement innovative solutions.
• Good understanding of version control tools, such as Git.
• Strong communication and teamwork skills.
• Preferred (but not required):
• Experience with other front-end frameworks or libraries.
• Knowledge of SEO principles.
• Experience in an Agile/Scrum development process",https://in.linkedin.com/jobs/view/frontend-developer-at-ermin-systems-3815247524?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Front End Developer,CONDUENT,"  Bengaluru, Karnataka, India   ",via Conduent,"About Conduent:

Through our dedicated associates, Conduent delivers mission-critical services and solutions on behalf of Fortune 100 companies and over 500 governments – creating exceptional outcomes for our clients and the millions of people who count on them. You have an opportunity to personally thrive, make a difference and be part of a culture where individuality is noticed and valued every day.

Job Description:

Job Track Description:
• Responsibilities: (Experience – 4+ yrs)
• Designing and developing user interfaces using Angular 2+ best practices.
• Adapting interface for modern internet applications using the latest front-end technologies.
• Writing Type Script, JavaScript, CSS, and HTML.
• Developing product analysis tasks.
• Making complex technical and design decisions for Angular 2+ projects.
• Developing application codes and unit tests in Angular, and Rest Web API Services.
• Developing Automated Unite test & E2E test for angular 2+ projects
• Consulting with the... design team.
• Ensuring high performance of applications and providing support.

Requirements:
• Bachelor’s Degree in Computer Science, Computer Engineering or similar.
• Previous work experience as an Angular Developer.
• Proficient in CSS, HTML, and writing cross-browser compatible code.
• Experience using JavaScript building tools like Gulp or Grunt.
• Knowledge of JavaScript MV-VM/MVC frameworks including React and Angular etc.
• Proven experience implementing front-end and back-end JavaScript applications.
• Excellent communication skills.
• Critical thinker and good problem-solver

Closing:

Conduent is an Equal Opportunity Employer and considers applicants for all positions without regard to race, color, creed, religion, ancestry, national origin, age, gender identity, gender expression, sex/gender, marital status, sexual orientation, physical or mental disability, medical condition, use of a guide dog or service animal, military/veteran status, citizenship status, basis of genetic information, or any other group protected by law.

People with disabilities who need a reasonable accommodation to apply for or compete for employment with Conduent may request such accommodation(s) by clicking on the following link, completing the accommodation request form, and submitting the request by using the ""Submit"" button at the bottom of the form. For those using Google Chrome or Mozilla Firefox please download the form first: click here to access or download the form. You may also click here to access Conduent’s ADAAA Accommodation Policy.

At Conduent, we value the health and safety of our associates, their families and our community. Under our current protocols, we do not require vaccination against COVID for most of our US jobs, but may require you to provide your COVID vaccination status, where legally permissible",https://careers.conduent.com/us/en/job/81475/Lead-Front-End-Developer?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Frontend Developer,SupplyHouse.com, Anywhere ,via LinkedIn,"SupplyHouse.com (through an EOR) is looking for a full-time Frontend Developer to combine the art of design with the art of programming. The selected individual will work alongside our talented Development and Design teams to build enterprise-level web applications. This individual will take an active role on both sides, define how the application looks and functions, and drive changes to improve the overall user experience. Come create with us!

Job Type: Contract

Location: Remote (Must be located in India)

Schedule: Standard business hours are Monday through Friday from 8:00 a.m. to 5:00 p.m. ET. Employees located outside of the United States work a schedule with a minimum of 4-5 hours per day that overlap with our standard business hours to ensure effective collaboration.

Salary: $2,000 - $3,000 USD per month

Responsibilities:
• Build new user-interfaces (UI), components, and libraries for use within our applications
• Ensure the technical feasibility of UI/UX designs
•... Optimize application for maximum speed and scalability
• Collaborate with Product Designers, Product Managers, and the Back-End Development team to ensure tech and design are in sync
• Review code written by other Front-End Developers
• Ensure industry standard development best practices are observed, including accessibility and privacy compliance
• Provide awareness and implementation of SEO best practices
• Keep up with the latest front-end technology in the industry and make recommendations to use/migrate to them

Requirements:
• Bachelor's degree in Computer Science or related field
• 3+ years of experience in Responsive Web Design and proficiency in HTML5, CSS3, JavaScript (ES5+), TypeScript, and Node.js
• 3+ years of experience in client-side scripting and JavaScript frameworks, including Vue.js, ReactJS etc. (4+ years of experience in ReactJS preferred)
• 2+ years of experience in Server-Side Rendering (SSR)
• In-depth understanding of RESTful services/APIs and asynchronous programming
• Experience with JS Frontend unit/integration testing and client-side monitoring tools (e.g., Sentry)
• Experience with state management library (Redux, Vuex)
• Experience with object storage services (e.g., S3)
• Experience translating prototypes and designs into clean, valid, and launch-ready mark-up
• Deep understanding of cross-browser compatibility and a passion for producing pixel perfect code
• Experience with CSS pre-processing frameworks (Sass or Less) and other styling methodologies (styled-components, CSS modules, etc)
• Knowledge of CMS systems (i.e., WordPress and Joomla)
• Excellent verbal and written communication skills",https://in.linkedin.com/jobs/view/frontend-developer-at-supplyhouse-com-3818183404?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Frontend developer,Siemens,"  Bengaluru, Karnataka, India   ",via Jobs At Siemens Healthineers,"General Skill Set:
• BE / B.Tech / MCA / ME / M.Tech from a reputed university.
• Minimum 2-4 years of development experience as a Software developer.
Experience and Knowledge:
At least 2+ years of experience in designing, development and maintenance of Applications in HTML/JS/Angular technology.
Extensive Experience working in a DevOps environment and related technologies.
Knowledge Setting up CI/CD pipelines in a MS Azure environment.
Experience in Configuring the Azure pipelines including deploying build agent.
Hands on experience working with PowerShell, JSON, and YAML scripting
Good understanding of Design principles and patterns, tools and methods
Experience in working with SAFe/Agile practices
Effective usage of profiling tools for applied scenarios like performance, resource consumption etc
Experience with Git/GitHub/GitLab/Azure DevOps and Defect Management System.
Experience with Static Code Analysis rules and visualization dashboard like SonarQube is desired.
PL09",https://jobs.siemens-healthineers.com/careers/job/563156118353100-frontend-developer-bangalore-karnataka-india?domain=siemens.com&microsite=siemens-healthineers&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Frontend Developer,EG Allied Pvt. Ltd., Anywhere ,via LinkedIn,"We are seeking a highly skilled Frontend Developer with expertise in React JS to join our team. In this role, you will be responsible for leading the development of web applications and interfaces that meet the needs of our users and clients. You will work closely with our design and backend development teams to ensure that our applications are responsive, accessible, and user-friendly.

Responsibilities:
• Develop and maintain web applications using React JS and related technologies, including Redux, React Router, and JSX.
• Lead frontend development projects, guiding the team through all stages of the development process, from conception to completion.
• Collaborate with designers, backend developers, and other stakeholders to ensure that our applications meet the needs of our users and clients.
• Ensure that our applications are responsive, accessible, and adhere to modern frontend development best practices.
• Manage and mentor other frontend developers, providing guidance and... support as needed.
• Stay up-to-date with emerging frontend development technologies and trends, and advocate for their adoption as appropriate.

Requirements:
• Bachelor's degree in Computer Science, related field, or equivalent experience.
• 1+ years of front-end development experience, focusing on React JS and related technologies.
• Experience leading frontend development teams, with a proven track record of delivering high-quality applications on time and within budget.
• Strong proficiency in web development technologies such as HTML, CSS, and JavaScript.
• Familiarity with modern front-end development tools and practices, including Git, Webpack, and Babel.
• Excellent communication and collaboration skills, with the ability to work effectively with designers, developers, and other stakeholders.
• Commitment to building accessible, user-friendly web applications that meet the needs of a diverse user base.

About Us:

Entire Globe Allied Pvt. Ltd provides services in the IT & BPO industry. Offering our services globally and connecting all to the world of innovation. We believe in providing the best solutions to our clients keeping Customer’s satisfaction and brand’s reputation in mind. We are in the business of outsourcing services, providing complete business solutions for Start-ups, Small and Medium Businesses and currently expanding reach towards large enterprises. We at EG Allied engage ourselves with innovative ideas to get competitive advantage over global competition.

Contact Us:

E-Mail: info@egallied.com

Website: www.egallied.com

To know more about us visit our website",https://in.linkedin.com/jobs/view/frontend-developer-at-eg-allied-pvt-ltd-3815639904?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Frontend Developer,Uplers,"  Secunderabad, Telangana, India   ",via WhatJobs,"Uplers is looking for Front End Developer for one of our clients.

Employment Type: Full-time

Working Days: Monday to Friday

Work Location: Hyderabad (Work from office)

Shift time : 10 AM to 6 PM IST

Device: Client will provide

Experience: 3 years and above

Must have skills: React Native, React Js, JavaScript, DOM (Document Object Model)

Basic knowledge: JWT, Git, Next JS, Rest API

Project Requirements:
3+ years of experience working with ReactJS Strong proficiency in JavaScript, including DOM manipulation. Thorough understanding of ReactJS and its core principles. It is a must that they have experience in ReactNative, building Android apps. Familiarity with RESTful APIs. Knowledge of modern authorization mechanisms, such as JWT. Familiarity with modern front-end build pipelines and tools. Experience with common front-end development tools such as Babel, Webpack, NPM, etc. Ability to understand business requirements and translate them into technical requirements. A knack for... benchmarking and optimization. Familiarity with code versioning tools such as Git. Knowledge of NextJS framework. Excellent troubleshooting skills.

Roles & Responsibilities
You will be responsible for building and maintaining the user interface (UI) of websites or web applications. This involves writing clean, efficient, and maintainable code using HTML, CSS, and JavaScript. You should have a good grasp of JavaScript and be able to create interactive and dynamic user interfaces. Optimize the front-end code for performance, including minimizing HTTP requests, reducing page load times, and implementing best practices for faster rendering. Collaborate with back-end developers, designers, and other team members to ensure the seamless integration of the front-end with the back-end and to meet design and functionality requirements. Ensure that the websites and web applications you develop work well across different browsers and devices. Debug and fix any compatibility issues. Use version control systems like Git to collaborate with team members and manage code repositories effectively. Utilize your experience in React Native to design and build high-quality Android applications.

Candidates who live in Hyderabad or wish to relocate to work from the office are preferred",https://en-in.whatjobs.com/job/Frontend-Developer/hyderabad-secunderabad/36360445?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Junior Frontend Developer ( Remote Only ),HootBoard, Anywhere ,via Wellfound,"HootBoard is hiring a Remote Frontend Developer to help us build world class Visitor Information Kiosk solutions for the Travel-Tourism Industry.

About HootBoard:

At HootBoard, we are building engaging tourist information networks using kiosks. These help tourists find key local information that is specially curated by the local tourism bureau along with deals on experiences, restaurants etc. This is an opportunity to build very cool in-real-life (IRL) technology in the smart-city + tourism space.

About this Job:

At HootBoard you will be working along with some of the smartest developers and product designers. You will be working on HootBoard’s next generation kiosk based solutions for Out-of-Home Advertising Network, Local Discovery, Mobile Visitor Information, Kiosk Operating System etc. Going forward, these will be part of HootBoard’s core technology that we intend to deploy at prominent tourist destinations around the world.

Work Experience

Professional experience between 6... months - 2 years.

Mandatory Skill Set:
• You've worked professionally for a minimum of 6 months in Javascript.
• You have a good understanding of HTML, CSS, React, and the web development ecosystem.

Pluses
• You've built interesting side projects using React.

General Qualities We Adore:
• Able to build things and iterate quickly based on feedback from Product folks, Designers and Customers.
• Experience in driving and delivering complex features/software modules from technical design to launch
• You write understandable, testable code with an eye towards maintainability.
• Experience with Startups or Eager to get a taste of it.
• Team player with Strong interpersonal, verbal and written communication skills

Working Hours:

Since a major chunk of our remote employees are from India, you will be working in IST.

Learn more at https://www.hootboard.com/careers

HootBoard focuses on Communications Hardware, Travel & Tourism, Automated Kiosk, Smart City, and Communications Software. Their company has offices in New York City, India, Philadelphia, United States, and Pune. They have a small team that's between 11-50 employees.

You can view their website at http://www.hootboard.com or find them on Twitter, Facebook, and LinkedIn",https://wellfound.com/jobs/1526530-junior-frontend-developer-remote-only?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Frontend Developer,K{r}eeda Labs, Anywhere ,via LinkedIn,"Job Role: Frontend Developer

Job Type: Permanent Full time

Location: Remote

Notice Period: Immediate Joiner to 15 days.

Experience: 1 - 2 years

Key Responsibilities:
• Must have built at least two Android and/or iOS apps with Flutter.
• Must have Native Android or iOS knowledge.
• Must have experience with cross-platform frameworks.
• Willing to learn and work on different mobile platforms/frameworks when needed.
• Published at least one app on the Play Store using Flutter/ Native (Java/Kotlin/Swift/Object C).
• Networking and integrating third-party APIs.
• Be proficient in using version control and continuous integration, with tools such as Git.
• Experience building and deploying a moderately complex Flutter/Android/IOS app.
• Experience in Translating UI/UX designs into code.
• Familiarity with Figma will be an add on to implement UI design.
• Experience in building mobile applications with Firebase.
• Advanced debugging/testing/optimization.
• General knowledge of Location... Services, Maps, and other common Android/IOS libraries.
• AWS Basic knowledge will be an add on.
• Good knowledge of SQL & No SQL databases",https://in.linkedin.com/jobs/view/frontend-developer-at-k-r-eeda-labs-3818162625?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Lead Front End Developer,CONDUENT,"  Bengaluru, Karnataka, India   ",via Conduent,"About Conduent:

Through our dedicated associates, Conduent delivers mission-critical services and solutions on behalf of Fortune 100 companies and over 500 governments – creating exceptional outcomes for our clients and the millions of people who count on them. You have an opportunity to personally thrive, make a difference and be part of a culture where individuality is noticed and valued every day.

Job Description:

Job Track Description:
• Front-end support the full enterprise solution that covers healthcare / health insurance claims processing
• Developing new user-facing interfaces using Reactjs & React Native
• Building reusable components and front-end libraries for future use
• Translating designs and wireframes into high quality code
• Optimizing components for maximum performance across a vast array of web-capable devices and browsers
• Construct visualizations that are able to depict vast amounts of information for healthcare insurance based data
• Develop a flexible and... well-structured front-end architecture, along with the APIs to support it
• Web tier : JavaScript,HTML,CSS,RedUx,React JS,Node JS,Express,Webpack,HTTPS Client,REST Services,JWT,Brwoser compatibility, React libraries, Servlets, Web Tier design patterns,Session security,XML, XPath, Json
• Ability to define UI Guidelines and implement User experience guidelines

Skills:
• Experience in frontend development ( React JS mandatory , Angular optional and awareness
• Strong proficiency in JavaScript, including DOM manipulation and the JavaScript object model
• Thorough understanding of Reactjs & React Native and its core principles
• Experience with popular Reactjs / Redux & React Native workflows (such as Flux or Redux)
• Familiarity with newer specifications of EcmaScript
• Experience with data structure libraries (e.g., Immutable.js)
• Experience with Core web fundamentals: HTML, JavaScript, and CSS3, CSS preprocessors like Sass or LESS
• Experience with JS-based build tools like Grunt, Gulp, and Bower
• Knowledge of isomorphic React is a plus
• Familiarity with RESTful APIs and integration using MVC design patterns
• Knowledge of modern authorization mechanisms, such as JSON Web Token, OAuth
• Familiarity with modern front-end build pipelines and tools
• Experience with common front-end development tools such as Babel, Webpack, NPM, etc.
• Ability to understand business requirements and translate them into technical requirements
• A knack for benchmarking and optimization
• Familiarity with code versioning tools such as Git, Bitbucket, and Mercurial
• Experience in unit testing with Jest, Mocha, and Jasmine. ( optional)
• Exposure to Docker, Maven and Jenkins will be a plus. (optional)

• Exposure to ADA compliance design and testing is a plus.
Closing:

Conduent is an Equal Opportunity Employer and considers applicants for all positions without regard to race, color, creed, religion, ancestry, national origin, age, gender identity, gender expression, sex/gender, marital status, sexual orientation, physical or mental disability, medical condition, use of a guide dog or service animal, military/veteran status, citizenship status, basis of genetic information, or any other group protected by law.

People with disabilities who need a reasonable accommodation to apply for or compete for employment with Conduent may request such accommodation(s) by clicking on the following link, completing the accommodation request form, and submitting the request by using the ""Submit"" button at the bottom of the form. For those using Google Chrome or Mozilla Firefox please download the form first: click here to access or download the form. You may also click here to access Conduent’s ADAAA Accommodation Policy.

At Conduent, we value the health and safety of our associates, their families and our community. Under our current protocols, we do not require vaccination against COVID for most of our US jobs, but may require you to provide your COVID vaccination status, where legally permissible",https://careers.conduent.com/us/en/job/81475/Lead-Front-End-Developer?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Frontend Developer,Artech Infosystems India Private Limited,"  Secunderabad, Telangana, India   ",via WhatJobs,"Skill- Frontend Developer

Location- Bengaluru / Hyderabad / Chennai

NP-Immediate/15 days/20 days

Job description:
Position summary: Senior Front-End Developer , is a person who has good experience in Front-End Application development and support. . Person will mentor and coach junior developers in the application development team and will have responsibilities as defined in role description and responsibilities section below.

Work experience: Overall 10+ years of relevant IT experience, with minimum 7+ years of experience in developing web application using Front End Frameworks. (Refer section – Experience and Technical Skills below)

Work location: Bengaluru / Hyderabad / Chennai

Role description:
1. Handles application modernization activities in projects as a subject matter expert
2. Offering & capabilities development

Responsibilities: The chosen candidate will take on the following responsibilities in the below areas.

o Project Delivery
Engage with clients to design... applications based on business requirements covering Applications, Data, Cloud Technology & Application Authentication & Authorization. Performing code review of project deliverables. Lead work sessions and client discussion with application development/support teams Perform application code changes based on the defined application modernization strategy and architecture. Collaborate with enterprise architecture, information security, application & infrastructure teams to produce an optimal, high level, conceptual, and cost-effective application designs by using microservices patterns and best practices Develop and modernize applications based on cloud native architecture that includes APIs, microservices and containers. Lead project delivery by coaching and mentoring the developers in activities.

o Offering and capability development
Work with the offering and capabilities team to build application modernization offerings based on market demand and develop delivery capabilities for its execution. Mentor and coach junior developers on initiatives. Experience:
1. Design and implement Web Applications on Cloud Platforms – AWS , Azure , GCP.
2. Proficient in Architectural Design Patterns, Deep knowledge on one or more tech stack, identify alternate tech choices and trade-offs.
3. Experience in third-party libraries, custom libraries and API.
4. Experience in contributing to the architecture and design of new and current systems.(reliability, scaling)
5. Proficient in handling responsive design, cross -browser compatibility, memory optimization concepts, high performance web applications, single page applications and Unit testing.
6. Understanding of emerging technologies, standards and best practices.

Essential Technical Skills:
Candidate should have experience as per below technical skill matrix

Front-End Application Developer:
Category-

Web Apps

Primary-
React JS, Redux

Good to have
Angular / VueJS, ExpressJS, Node JS, UnitTesting – Jasmine/Mocha/Chai, Kestrel, Nginx, Mongo DB

Category-

Common

Primary-

HTML/HTML5, JavaScript, Typescript, CSS/CSS3, ES6

Good to have

JQuery, Bootstrap, Ajax

Professional Attributes: o Strong collaboration skills within and across teams, geographies and domains
o Self-starter who thrives in an ever-changing, fast-paced business environment
o Adaptability to the rapid change in technology",https://en-in.whatjobs.com/job/Frontend-Developer/hyderabad-secunderabad/36353765?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
